date,league,t1,t2,bet_type,bet_line,ROI,fair_odds,odds,House,url,status,settlement_sent
2023-11-12,LOL - World Champs,JD Gaming,T1,under,game_duration 30.5,32.67%,1.38,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18275493/F19/,win,1.0
2023-11-12,LOL - World Champs,JD Gaming,T1,under,total_inhibitors 1.5,18.95%,1.54,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18275493/F19/,win,1.0
2023-11-12,LOL - World Champs,JD Gaming,T1,under,total_barons 1.5,33.30%,1.29,1.72,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18275493/F19/,win,1.0
2023-11-12,LOL - World Champs,JD Gaming,T1,under,total_dragons 4.5,32.80%,1.25,1.66,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18275493/F19/,win,1.0
2023-11-12,LOL - World Champs,JD Gaming,T1,under,game_duration 29.5,5.22%,1.74,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18275493/F19/,win,1.0
2023-11-12,2023 World Championship,JD Gaming,T1,under,total_kills 21.5,8.41%,1.82,1.971,Dafabet,https://esports.e1q1j0ov.com/esportsite/index.html?v=231104200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,loss,1.0
2023-11-12,2023 World Championship,JD Gaming,T1,FD,first_dragon T1,22.92%,1.43,1.756,Dafabet,https://esports.e1q1j0ov.com/esportsite/index.html?v=231104200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,loss,1.0
2023-11-12,2023 World Championship,JD Gaming,T1,under,game_duration 31.0,42.10%,1.38,1.96,Dafabet,https://esports.e1q1j0ov.com/esportsite/index.html?v=231104200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,win,1.0
2023-11-12,2023 World Championship,JD Gaming,T1,under,total_barons 1.5,32.91%,1.29,1.715,Dafabet,https://esports.e1q1j0ov.com/esportsite/index.html?v=231104200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,win,1.0
2023-11-12,2023 World Championship,JD Gaming,T1,under,total_kills 21.5,8.41%,1.82,1.971,Pinnacle,https://esports.e1q1j0ov.com/esportsite/index.html?v=231104200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,loss,1.0
2023-11-12,2023 World Championship,JD Gaming,T1,under,game_duration 31.0,42.10%,1.38,1.96,Pinnacle,https://esports.e1q1j0ov.com/esportsite/index.html?v=231104200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,win,1.0
2023-11-12,2023 World Championship,JD Gaming,T1,under,total_barons 1.5,32.91%,1.29,1.715,Pinnacle,https://esports.e1q1j0ov.com/esportsite/index.html?v=231104200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,win,1.0
2023-11-12,League of Legends - World Championship,JD Gaming,T1,under,total_dragons 4.5,28.48%,1.25,1.606,Pinnacle,https://www.pinnacle.com/pt/esports/league-of-legends-emea-masters/orbit-anonymo-vs-bisons/1581560323/#all,win,1.0
2023-11-12,League of Legends - World Championship,JD Gaming,T1,under,total_towers 12.5,5.85%,1.38,1.46,Pinnacle,https://www.pinnacle.com/pt/esports/league-of-legends-emea-masters/orbit-anonymo-vs-bisons/1581560323/#all,win,1.0
2023-11-12,League of Legends - World Championship,JD Gaming,T1,under,game_duration 30.0,43.77%,1.48,2.13,Pinnacle,https://www.pinnacle.com/pt/esports/league-of-legends-emea-masters/orbit-anonymo-vs-bisons/1581560323/#all,win,1.0
2023-11-19,2023 World Championship,T1,Weibo Gaming,FD,first_dragon T1,14.87%,1.43,1.641,Dafabet,https://esports.e1q1j0ov.com/esportsite/index.html?v=231111200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,pending,0.0
2023-11-19,LOL - World Champs,Weibo Gaming,T1,under,total_inhibitors 1.5,5.22%,1.74,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18332101/F19/,pending,0.0
2023-11-19,LOL - World Champs,Weibo Gaming,T1,under,game_duration 31.5,14.38%,1.6,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18332101/F19/,pending,0.0
2023-11-19,2023 World Championship,T1,Weibo Gaming,FD,first_dragon Weibo Gaming,14.05%,2.0,2.281,Dafabet,https://esports.e1q1j0ov.com/esportsite/index.html?v=231114200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,pending,0.0
